,ISBN,book_id,Publication Year,Author,Title,AvgRating,Image-URL,Image-URL-S
11,080652121X,12,2011,Veronica Roth,"Divergent (Divergent, #1)",4.24,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg
12,0887841740,13,1949,"George Orwell, Erich Fromm, Celâl Üster",1984,4.14,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg
13,1552041778,14,1945,George Orwell,Animal Farm,3.87,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg
14,1558746218,15,1947,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl,4.1,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg
15,1567407781,16,2005,"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)",4.11,https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg
16,1575663937,17,2009,Suzanne Collins,"Catching Fire (The Hunger Games, #2)",4.3,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg
17,1881320189,18,1999,"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg
18,0440234743,19,1954,J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg
19,0452264464,20,2010,Suzanne Collins,"Mockingjay (The Hunger Games, #3)",4.03,https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419s/7260188.jpg
20,0609804618,21,2003,"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg
21,1841721522,22,2002,Alice Sebold,The Lovely Bones,3.77,https://images.gr-assets.com/books/1457810586m/12232938.jpg,https://images.gr-assets.com/books/1457810586s/12232938.jpg
22,1879384493,23,1998,"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725s/15881.jpg
23,0061076031,24,2000,"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg
24,0439095026,25,2007,"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg
25,0689821166,26,2003,Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",3.79,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg
26,0971880107,27,2005,"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg
27,0345402871,28,1954,William Golding,Lord of the Flies,3.64,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg
28,0345417623,29,1595,"William Shakespeare, Robert           Jackson",Romeo and Juliet,3.73,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg
29,0684823802,30,2012,Gillian Flynn,Gone Girl,4.03,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg
30,0375759778,31,2009,Kathryn Stockett,The Help,4.45,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365s/4667024.jpg
31,0425163091,32,1937,John Steinbeck,Of Mice and Men,3.84,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233s/890.jpg
32,3404921038,33,1997,Arthur Golden,Memoirs of a Geisha,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
33,3442353866,34,2011,E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843s/10818853.jpg
34,3442410665,35,1988,"Paulo Coelho, Alan R. Clarke",The Alchemist,3.82,https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266s/865.jpg
35,3442446937,36,1993,Lois Lowry,"The Giver (The Giver, #1)",4.12,https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg
36,0375406328,37,1950,C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg
37,0446310786,38,2003,Audrey Niffenegger,The Time Traveler's Wife,3.95,https://images.gr-assets.com/books/1437728815m/14050.jpg,https://images.gr-assets.com/books/1437728815s/14050.jpg
38,0449005615,39,1996,George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,https://images.gr-assets.com/books/1436732693m/13496.jpg,https://images.gr-assets.com/books/1436732693s/13496.jpg
39,0060168013,40,2006,Elizabeth Gilbert,"Eat, Pray, Love",3.51,https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414s/19501.jpg
40,038078243X,41,2005,Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609s/28187.jpg
41,055321215X,42,1868,Louisa May Alcott,"Little Women (Little Women, #1)",4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
42,067176537X,43,1847,"Charlotte Brontë, Michael Mason",Jane Eyre,4.1,https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269s/10210.jpg
43,0061099686,44,1996,Nicholas Sparks,"The Notebook (The Notebook, #1)",4.06,https://images.gr-assets.com/books/1385738917m/15931.jpg,https://images.gr-assets.com/books/1385738917s/15931.jpg
44,0553582909,45,2001,Yann Martel,Life of Pi,3.88,https://images.gr-assets.com/books/1320562005m/4214.jpg,https://images.gr-assets.com/books/1320562005s/4214.jpg
45,0671888587,46,2006,Sara Gruen,Water for Elephants,4.07,https://images.gr-assets.com/books/1494428973m/43641.jpg,https://images.gr-assets.com/books/1494428973s/43641.jpg
46,0553582747,47,2005,Markus Zusak,The Book Thief,4.36,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681s/19063.jpg
47,0425182908,48,1953,Ray Bradbury,Fahrenheit 451,3.97,https://images.gr-assets.com/books/1351643740m/4381.jpg,https://images.gr-assets.com/books/1351643740s/4381.jpg
48,042518630X,49,2006,Stephenie Meyer,"New Moon (Twilight, #2)",3.52,https://images.gr-assets.com/books/1361039440m/49041.jpg,https://images.gr-assets.com/books/1361039440s/49041.jpg
49,0440223571,50,1974,Shel Silverstein,Where the Sidewalk Ends,4.29,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448s/30119.jpg
50,0812523873,51,2007,Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",4.12,https://images.gr-assets.com/books/1432730315m/256683.jpg,https://images.gr-assets.com/books/1432730315s/256683.jpg
51,0842342702,52,2007,Stephenie Meyer,"Eclipse (Twilight, #3)",3.69,https://images.gr-assets.com/books/1361038355m/428263.jpg,https://images.gr-assets.com/books/1361038355s/428263.jpg
52,0440225701,53,2002,Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",3.86,https://images.gr-assets.com/books/1366212852m/113436.jpg,https://images.gr-assets.com/books/1366212852s/113436.jpg
53,0060914068,54,1979,Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,https://images.gr-assets.com/books/1327656754m/11.jpg,https://images.gr-assets.com/books/1327656754s/11.jpg
54,0156047624,55,1932,Aldous Huxley,Brave New World,3.97,https://images.gr-assets.com/books/1487389574m/5129.jpg,https://images.gr-assets.com/books/1487389574s/5129.jpg
55,0245542957,56,2008,Stephenie Meyer,"Breaking Dawn (Twilight, #4)",3.7,https://images.gr-assets.com/books/1361039438m/1162543.jpg,https://images.gr-assets.com/books/1361039438s/1162543.jpg
56,0380715899,57,2001,Sue Monk Kidd,The Secret Life of Bees,4.01,https://images.gr-assets.com/books/1473454532m/37435.jpg,https://images.gr-assets.com/books/1473454532s/37435.jpg
57,0553280333,58,1884,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,3.8,https://images.gr-assets.com/books/1405973850m/2956.jpg,https://images.gr-assets.com/books/1405973850s/2956.jpg
58,0961769947,59,1952,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,4.15,https://images.gr-assets.com/books/1439632243m/24178.jpg,https://images.gr-assets.com/books/1439632243s/24178.jpg
59,0964778319,60,2003,Mark Haddon,The Curious Incident of the Dog in the Night-Time,3.85,https://images.gr-assets.com/books/1479863624m/1618.jpg,https://images.gr-assets.com/books/1479863624s/1618.jpg
60,0671623249,61,2015,Paula Hawkins,The Girl on the Train,3.88,https://images.gr-assets.com/books/1490903702m/22557272.jpg,https://images.gr-assets.com/books/1490903702s/22557272.jpg
61,0679810307,62,1995,Philip Pullman,"The Golden Compass (His Dark Materials, #1)",3.94,https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg
62,0679865691,63,1847,"Emily Brontë, Richard J. Dunn",Wuthering Heights,3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
63,2070423204,64,2004,Jodi Picoult,My Sister's Keeper,4.06,https://images.gr-assets.com/books/1369504683m/10917.jpg,https://images.gr-assets.com/books/1369504683s/10917.jpg
64,0345260317,65,1969,Kurt Vonnegut Jr.,Slaughterhouse-Five,4.06,https://images.gr-assets.com/books/1440319389m/4981.jpg,https://images.gr-assets.com/books/1440319389s/4981.jpg
65,0394743741,66,1936,Margaret Mitchell,Gone with the Wind,4.28,https://images.gr-assets.com/books/1328025229m/18405.jpg,https://images.gr-assets.com/books/1328025229s/18405.jpg
66,042511774X,67,2007,Khaled Hosseini,A Thousand Splendid Suns,4.34,https://images.gr-assets.com/books/1345958969m/128029.jpg,https://images.gr-assets.com/books/1345958969s/128029.jpg
67,0804106304,68,1999,Stephen Chbosky,The Perks of Being a Wallflower,4.21,https://images.gr-assets.com/books/1167352178m/22628.jpg,https://images.gr-assets.com/books/1167352178s/22628.jpg
68,1853262404,69,2012,Veronica Roth,"Insurgent (Divergent, #2)",4.07,https://images.gr-assets.com/books/1325667729m/11735983.jpg,https://images.gr-assets.com/books/1325667729s/11735983.jpg
69,0312970242,70,1985,Orson Scott Card,"Ender's Game (Ender's Saga, #1)",4.3,https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130s/375802.jpg
70,1853260053,71,1818,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein,3.75,https://images.gr-assets.com/books/1381512375m/18490.jpg,https://images.gr-assets.com/books/1381512375s/18490.jpg
71,1414035004,72,1977,Stephen King,The Shining (The Shining #1),4.17,https://images.gr-assets.com/books/1353277730m/11588.jpg,https://images.gr-assets.com/books/1353277730s/11588.jpg
72,0060938412,73,2008,Stephenie Meyer,"The Host (The Host, #1)",3.84,https://images.gr-assets.com/books/1318009171m/1656001.jpg,https://images.gr-assets.com/books/1318009171s/1656001.jpg
73,0140067477,74,2005,John Green,Looking for Alaska,4.09,https://images.gr-assets.com/books/1394798630m/99561.jpg,https://images.gr-assets.com/books/1394798630s/99561.jpg
74,0345465083,75,1996,Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",3.75,https://images.gr-assets.com/books/1292060045m/227443.jpg,https://images.gr-assets.com/books/1292060045s/227443.jpg
75,0451625889,76,1811,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,4.06,https://images.gr-assets.com/books/1397245675m/14935.jpg,https://images.gr-assets.com/books/1397245675s/14935.jpg
76,1558531025,77,1998,"Louis Sachar, Louis Sachar","Holes (Holes, #1)",3.93,https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg
77,0441783589,78,2003,Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
78,0394895894,79,1914,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey,3.73,https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285s/1381.jpg
79,1569871213,80,1946,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince,4.28,https://images.gr-assets.com/books/1367545443m/157993.jpg,https://images.gr-assets.com/books/1367545443s/157993.jpg
80,0375410538,81,2005,Jeannette Walls,The Glass Castle,4.24,https://images.gr-assets.com/books/1400930557m/7445.jpg,https://images.gr-assets.com/books/1400930557s/7445.jpg
81,0966986105,82,1996,Jon Krakauer,Into the Wild,3.94,https://images.gr-assets.com/books/1403173986m/1845.jpg,https://images.gr-assets.com/books/1403173986s/1845.jpg
82,087113375X,83,1859,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,3.81,https://images.gr-assets.com/books/1344922523m/1953.jpg,https://images.gr-assets.com/books/1344922523s/1953.jpg
83,0340767936,84,1990,Michael Crichton,"Jurassic Park (Jurassic Park, #1)",3.96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
84,0743403843,85,1964,Shel Silverstein,The Giving Tree,4.38,https://images.gr-assets.com/books/1174210942m/370493.jpg,https://images.gr-assets.com/books/1174210942s/370493.jpg
85,0060930365,86,1989,John Grisham,A Time to Kill,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
86,0060177586,87,1958,"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1),4.3,https://images.gr-assets.com/books/1473495285m/1617.jpg,https://images.gr-assets.com/books/1473495285s/1617.jpg
87,0071416331,88,2008,John Green,Paper Towns,3.88,https://images.gr-assets.com/books/1349013610m/6442769.jpg,https://images.gr-assets.com/books/1349013610s/6442769.jpg
88,0375509038,89,1973,William Goldman,The Princess Bride ,4.25,https://images.gr-assets.com/books/1327903636m/21787.jpg,https://images.gr-assets.com/books/1327903636s/21787.jpg
89,0553062042,90,1967,S.E. Hinton,The Outsiders,4.06,https://images.gr-assets.com/books/1442129426m/231804.jpg,https://images.gr-assets.com/books/1442129426s/231804.jpg
90,0316769487,91,2009,James Dashner,"The Maze Runner (Maze Runner, #1)",4.02,https://images.gr-assets.com/books/1375596592m/6186357.jpg,https://images.gr-assets.com/books/1375596592s/6186357.jpg
91,8445071408,92,2005,"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,https://images.gr-assets.com/books/1327909092m/1202.jpg,https://images.gr-assets.com/books/1327909092s/1202.jpg
92,8445071769,93,1911,Frances Hodgson Burnett,The Secret Garden,4.12,https://images.gr-assets.com/books/1327873635m/2998.jpg,https://images.gr-assets.com/books/1327873635s/2998.jpg
93,8445071777,94,1967,"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude,4.04,https://images.gr-assets.com/books/1327881361m/320.jpg,https://images.gr-assets.com/books/1327881361s/320.jpg
94,0679429220,95,1891,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,4.06,https://images.gr-assets.com/books/1424596966m/5297.jpg,https://images.gr-assets.com/books/1424596966s/5297.jpg
95,0671867156,96,2012,E.L. James,"Fifty Shades Freed (Fifty Shades, #3)",3.88,https://images.gr-assets.com/books/1336418837m/13536860.jpg,https://images.gr-assets.com/books/1336418837s/13536860.jpg
96,0312252617,97,1897,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,3.98,https://images.gr-assets.com/books/1387151694m/17245.jpg,https://images.gr-assets.com/books/1387151694s/17245.jpg
97,0312261594,98,2006,"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)",4.22,https://images.gr-assets.com/books/1351778881m/5060378.jpg,https://images.gr-assets.com/books/1351778881s/5060378.jpg
98,0316748641,99,2011,E.L. James,"Fifty Shades Darker (Fifty Shades, #2)",3.87,https://images.gr-assets.com/books/1358266080m/11857408.jpg,https://images.gr-assets.com/books/1358266080s/11857408.jpg
99,0316973742,100,1998,Barbara Kingsolver,The Poisonwood Bible,4.02,https://images.gr-assets.com/books/1412242487m/7244.jpg,https://images.gr-assets.com/books/1412242487s/7244.jpg
100,0385235941,101,2000,David Sedaris,Me Talk Pretty One Day,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
101,0446677450,102,1963,Maurice Sendak,Where the Wild Things Are,4.22,https://images.gr-assets.com/books/1384434560m/19543.jpg,https://images.gr-assets.com/books/1384434560s/19543.jpg
102,0451166892,103,1844,"Alexandre Dumas, Robin Buss",The Count of Monte Cristo,4.21,https://images.gr-assets.com/books/1309203605m/7126.jpg,https://images.gr-assets.com/books/1309203605s/7126.jpg
103,0553347594,104,2006,Cormac McCarthy,The Road,3.95,https://images.gr-assets.com/books/1439197219m/6288.jpg,https://images.gr-assets.com/books/1439197219s/6288.jpg
104,0671621009,105,2013,Veronica Roth,"Allegiant (Divergent, #3)",3.63,https://images.gr-assets.com/books/1395582745m/18710190.jpg,https://images.gr-assets.com/books/1395582745s/18710190.jpg
105,067976397X,106,2011,Tina Fey,Bossypants,3.94,https://images.gr-assets.com/books/1481509554m/9418327.jpg,https://images.gr-assets.com/books/1481509554s/9418327.jpg
106,0684822733,107,1999,Nicholas Sparks,A Walk to Remember,4.15,https://images.gr-assets.com/books/1385738968m/3473.jpg,https://images.gr-assets.com/books/1385738968s/3473.jpg
107,0786868716,108,2000,Sophie Kinsella,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,https://images.gr-assets.com/books/1327872404m/9416.jpg,https://images.gr-assets.com/books/1327872404s/9416.jpg
108,8472238822,109,1862,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,4.14,https://images.gr-assets.com/books/1411852091m/24280.jpg,https://images.gr-assets.com/books/1411852091s/24280.jpg
109,0671864769,110,1998,George R.R. Martin,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,https://images.gr-assets.com/books/1358254974m/10572.jpg,https://images.gr-assets.com/books/1358254974s/10572.jpg
110,0671521519,111,2005,Kim Edwards,The Memory Keeper's Daughter,3.64,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
111,0440222303,112,2012,Jojo Moyes,"Me Before You (Me Before You, #1)",4.27,https://images.gr-assets.com/books/1357108762m/15507958.jpg,https://images.gr-assets.com/books/1357108762s/15507958.jpg
112,0312953453,113,1961,Joseph Heller,Catch-22,3.98,https://images.gr-assets.com/books/1463157317m/168668.jpg,https://images.gr-assets.com/books/1463157317s/168668.jpg
113,0446608653,114,1997,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,4.06,https://images.gr-assets.com/books/1423763749m/6900.jpg,https://images.gr-assets.com/books/1423763749s/6900.jpg
114,0446612545,115,2002,Jeffrey Eugenides,Middlesex,3.98,https://images.gr-assets.com/books/1437029776m/2187.jpg,https://images.gr-assets.com/books/1437029776s/2187.jpg
115,0446612618,116,1876,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,3.89,https://images.gr-assets.com/books/1404811979m/24583.jpg,https://images.gr-assets.com/books/1404811979s/24583.jpg
116,0451208080,117,1962,Madeleine L'Engle,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,https://images.gr-assets.com/books/1329061522m/18131.jpg,https://images.gr-assets.com/books/1329061522s/18131.jpg
117,0553584383,118,1989,Amy Tan,The Joy Luck Club,3.9,https://images.gr-assets.com/books/1304978653m/7763.jpg,https://images.gr-assets.com/books/1304978653s/7763.jpg
118,0671027360,119,1985,Margaret Atwood,The Handmaid's Tale,4.06,https://images.gr-assets.com/books/1498057733m/38447.jpg,https://images.gr-assets.com/books/1498057733s/38447.jpg
119,0812575954,120,2001,Ann Brashares,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,https://images.gr-assets.com/books/1461611233m/452306.jpg,https://images.gr-assets.com/books/1461611233s/452306.jpg
120,0316735736,121,1955,"Vladimir Nabokov, Craig Raine",Lolita,3.88,https://images.gr-assets.com/books/1377756377m/7604.jpg,https://images.gr-assets.com/books/1377756377s/7604.jpg
121,0743439740,122,1995,"Gregory Maguire, Douglas Smith","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,https://images.gr-assets.com/books/1437733293m/37442.jpg,https://images.gr-assets.com/books/1437733293s/37442.jpg
122,0345372700,123,1991,John Grisham,"The Firm (Penguin Readers, Level 5)",3.99,https://images.gr-assets.com/books/1418465200m/5358.jpg,https://images.gr-assets.com/books/1418465200s/5358.jpg
123,0380619458,124,2010,Emma Donoghue,Room,4.03,https://images.gr-assets.com/books/1344265419m/7937843.jpg,https://images.gr-assets.com/books/1344265419s/7937843.jpg
124,0446325805,125,1600,"William Shakespeare, Richard Andrews, Rex Gibson",Hamlet,4.0,https://images.gr-assets.com/books/1351051208m/1420.jpg,https://images.gr-assets.com/books/1351051208s/1420.jpg
125,0451406923,126,1965,Frank Herbert,Dune (Dune Chronicles #1),4.19,https://images.gr-assets.com/books/1434908555m/234225.jpg,https://images.gr-assets.com/books/1434908555s/234225.jpg
126,0671042858,127,2000,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,3.92,https://images.gr-assets.com/books/1473396980m/2612.jpg,https://images.gr-assets.com/books/1473396980s/2612.jpg
127,0743249992,128,2011,Walter Isaacson,Steve Jobs,4.09,https://images.gr-assets.com/books/1327861368m/11084145.jpg,https://images.gr-assets.com/books/1327861368s/11084145.jpg
128,0840734530,129,1962,Ken Kesey,One Flew Over the Cuckoo's Nest,4.18,https://images.gr-assets.com/books/1485308778m/332613.jpg,https://images.gr-assets.com/books/1485308778s/332613.jpg
129,0425184226,130,1952,Ernest Hemingway,The Old Man and the Sea,3.73,https://images.gr-assets.com/books/1329189714m/2165.jpg,https://images.gr-assets.com/books/1329189714s/2165.jpg
130,0375500766,131,1939,John Steinbeck,The Grapes of Wrath,3.92,https://images.gr-assets.com/books/1352912927m/4395.jpg,https://images.gr-assets.com/books/1352912927s/4395.jpg
131,9724119378,132,2003,Mitch Albom,The Five People You Meet in Heaven,3.9,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
132,0451205197,133,1908,L.M. Montgomery,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
133,0060929790,134,2009,Cassandra Clare,"City of Glass (The Mortal Instruments, #3)",4.34,https://images.gr-assets.com/books/1369452339m/3777732.jpg,https://images.gr-assets.com/books/1369452339s/3777732.jpg
134,0060976845,135,2000,George R.R. Martin,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,https://images.gr-assets.com/books/1497931121m/62291.jpg,https://images.gr-assets.com/books/1497931121s/62291.jpg
135,0061099325,136,1996,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,3.79,https://images.gr-assets.com/books/1408313524m/137791.jpg,https://images.gr-assets.com/books/1408313524s/137791.jpg
136,0671004573,137,1991,Diana Gabaldon,"Outlander (Outlander, #1)",4.2,https://images.gr-assets.com/books/1402600310m/10964.jpg,https://images.gr-assets.com/books/1402600310s/10964.jpg
